,CMPLNT_FR_TM,RPT_DT,OFNS_DESC,BORO_NM,Lat_Lon
5337086,02:05:00,07/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.801063787, -73.950481913)"
5337811,23:00:00,07/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.713211258, -73.983881015)"
5338171,14:40:00,07/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.682807656, -73.767816313)"
5338479,02:53:00,07/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.842271968, -73.905032007)"
5338612,00:06:00,07/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.676152237, -73.893068674)"
5339175,17:00:00,07/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.691103257, -73.912877554)"
5339198,16:40:00,07/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.814000554, -73.900780541)"
5342914,19:02:00,06/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.620759553, -74.010548599)"
5343560,02:27:00,06/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.670869804, -73.86317105)"
5344202,22:48:00,06/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.675727746, -73.921495901)"
5344247,21:45:00,06/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.66357893, -73.896646458)"
5344261,21:17:00,06/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.850660187, -73.908920209)"
5349168,08:15:00,06/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.669788059, -73.958293685)"
5349472,00:01:00,06/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.709186497, -73.819156071)"
5352483,23:17:00,06/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.81725838, -73.940404581)"
5352500,22:48:00,06/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.671025464, -73.906195082)"
5352811,16:42:00,06/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.872596004, -73.825563635)"
5357323,16:52:00,06/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.827871665, -73.864958422)"
5358646,18:25:00,06/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.860655553, -73.895006204)"
5358807,14:26:00,06/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.680494853, -73.867095611)"
5360368,03:27:00,06/18/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.825100443, -73.89485635)"
5360896,23:18:00,06/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.847277155, -73.910442906)"
5363838,22:27:00,06/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.666231521, -73.922538001)"
